D0545,A083,0,0,34,F6344
D0545,A083,0,0,11,F6360
D0545,A083,0,0,19,F6358
D0545,A083,0,0,12,F6353
D0545,A083,0,0,63,F6354
D0545,B5800,7,29,-34,F6344
D0545,B7555,30,59,-63,F6354
D0545,B7182,62,77,-12,F6353
D0545,B8307,79,97,-19,F6358
D0545,B8461,102,117,-11,F6360
D0545,A083,124,124,46,F6349
D0545,A083,124,124,53,F6325
D0545,A083,124,124,39,F6314
D0545,B6528,132,157,-46,F6349
D0545,S245,160,257,1,E0895
D0545,B3266,259,267,-1,E0895
D0545,B3266,267,294,-53,F6325
D0545,B2337,296,320,-39,F6314
D0545,A083,324,324,36,F6366
D0545,A083,324,324,27,F6345
D0545,A083,324,324,F6346
D0545,A083,324,324,33,F6308
D0545,S294,340,508,1,E1088
D0545,B1940,525,547,33,F6308
D0545,B6104,550,573,-36,F6346
D0545,B8926,577,585,-1,E1088
D0545,B9072,587,610,-36,F6366
D0545,B6103,612,633,-27,F6345